,model,labeling,split_percent,pretrain,loss,tp,fp,tn,fn,accuracy,precision,recall,auc,f1,f0.5
0,BEN,balanced,100,False,0.3943890631198883,1889.0,554.0,1479.0,142.0,0.8287401795387268,0.7732296586036682,0.930083692073822,0.8952392339706421,0.8444345198245908,0.8192858319728084
1,BEN,expanded,100,False,0.45974940061569214,5007.0,1836.0,3652.0,481.0,0.7889030575752258,0.731696605682373,0.9123542308807373,0.8606246709823608,0.812099576325676,0.7834045970455943
2,BEN,expanded,1,False,0.6327643394470215,4655.0,1811.0,3677.0,833.0,0.7591108083724976,0.7199195623397827,0.8482142686843872,0.8159523606300354,0.7788187882953861,0.7581433053730231
3,BEN,expanded,3,False,0.5074321031570435,5027.0,2054.0,3437.0,458.0,0.771136999130249,0.7099279761314392,0.9164995551109314,0.8318609595298767,0.8000954998446939,0.7675981090181403
4,BEN,expanded,10,False,0.48251715302467346,4336.0,1408.0,4084.0,1148.0,0.7671282887458801,0.7548746466636658,0.7906637787818909,0.8418410420417786,0.7723548386908268,0.766438846206521
5,BEN,balanced,3,False,0.468172162771225,1602.0,472.0,1560.0,430.0,0.7780511975288391,0.7724204659461975,0.788385808467865,0.864622175693512,0.7803214832035804,0.7776699120853351
6,BEN,balanced,1,False,0.6017438173294067,1736.0,718.0,1313.0,297.0,0.7502460479736328,0.7074164748191833,0.853910505771637,0.7994433045387268,0.7737909705184901,0.7503241770818356
7,BEN,balanced,25,False,0.42925649881362915,1755.0,500.0,1531.0,278.0,0.8085629940032959,0.7782704830169678,0.8632562756538391,0.8803722262382507,0.8185634197819065,0.8046767357656859
8,BEN,expanded,25,False,0.4678708612918854,4880.0,1690.0,3795.0,611.0,0.7903608083724976,0.7427701950073242,0.8887270092964172,0.8556759357452393,0.8092198163282651,0.785787149938207
9,BEN,expanded,50,False,0.47414520382881165,4275.0,1234.0,4255.0,1212.0,0.7771501541137695,0.7760028839111328,0.7791142463684082,0.8543850779533386,0.7775554526487073,0.7770372399153802
10,BEN,balanced,10,False,0.4148220419883728,1773.0,538.0,1492.0,261.0,0.803395688533783,0.7672003507614136,0.8716813921928406,0.8825094103813171,0.8161104640009543,0.7991286024400602
11,BEN,balanced,50,False,0.42099443078041077,1685.0,414.0,1618.0,347.0,0.8127460479736328,0.8027632236480713,0.8292322754859924,0.8908094167709351,0.8157831010874342,0.8113964682422647
